0; Соломон; Кириллов; Юрьевич; 29; 168; 51; Москва; Санкт-Петербург
2536; Хиония; Зиновьев; Юрьевич; 53; 199; 79; Москва; Санкт-Петербург
2537; Сальвия; Жуков; Юрьевич; 34; 150; 79; Санкт-Петербург; Санкт-Петербург
2538; Будимир; Игнатьев; Михайлович; 29; 199; 65; Санкт-Петербург; Москва
2539; Эммануил; Лихачёв; Михайлович; 37; 192; 59; Санкт-Петербург; Москва
2540; Ипатий; Королёв; Михайлович; 51; 162; 70; Санкт-Петербург; Москва
2541; Абакум; Соболев; Михайлович; 26; 176; 43; Москва; Москва
2542; Виталика; Марков; Михайлович; 52; 189; 84; Москва; Санкт-Петербург
2543; Паисий; Силин; Михайлович; 46; 182; 83; Санкт-Петербург; Санкт-Петербург
2544; Ксения; Авдеев; Михайлович; 60; 199; 81; Москва; Москва
2545; Анатолий; Михеев; Михайлович; 30; 150; 83; Санкт-Петербург; Санкт-Петербург
2546; Вячеслав; Титов; Юрьевич; 59; 160; 64; Москва; Москва
2547; Анфима; Блохин; Юрьевич; 67; 155; 65; Санкт-Петербург; Санкт-Петербург
2548; Митрофан; Ситников; Михайлович; 32; 187; 84; Москва; Санкт-Петербург
2549; Логгин; Игнатьев; Михайлович; 41; 155; 43; Санкт-Петербург; Москва
2550; Тристан; Михайлов; Юрьевич; 29; 153; 40; Санкт-Петербург; Санкт-Петербург
2551; Артемия; Гущин; Юрьевич; 62; 177; 44; Санкт-Петербург; Санкт-Петербург
2552; Варфоломей; Захаров; Юрьевич; 47; 157; 43; Москва; Санкт-Петербург
2553; Каздоя; Ершов; Юрьевич; 26; 180; 78; Санкт-Петербург; Москва
2554; Эдита; Андреев; Юрьевич; 27; 179; 82; Санкт-Петербург; Санкт-Петербург
2555; Карина; Егоров; Михайлович; 32; 180; 59; Санкт-Петербург; Санкт-Петербург
2556; Макрина; Муравьёв; Юрьевич; 29; 197; 50; Москва; Москва
2557; Земфира; Овчинников; Михайлович; 36; 164; 85; Санкт-Петербург; Москва
2558; Аврам; Горбачёв; Михайлович; 48; 172; 86; Москва; Москва
2559; Селина; Емельянов; Юрьевич; 34; 155; 55; Москва; Москва
2560; Радим; Копылов; Михайлович; 57; 153; 54; Москва; Санкт-Петербург
2561; Глеб; Моисеев; Юрьевич; 54; 162; 72; Москва; Санкт-Петербург
2562; Апфия; Яковлев; Юрьевич; 30; 153; 65; Москва; Москва
2563; Силантий; Нестеров; Юрьевич; 47; 177; 61; Санкт-Петербург; Санкт-Петербург
2564; Павлин; Воробьёв; Михайлович; 43; 161; 61; Санкт-Петербург; Москва
2565; Нимфа; Новиков; Юрьевич; 51; 156; 45; Москва; Москва
2566; Зенона; Федотов; Юрьевич; 50; 182; 42; Москва; Москва
2567; Фетиния; Кириллов; Михайлович; 66; 190; 89; Санкт-Петербург; Москва
2568; Гордей; Мельников; Михайлович; 39; 156; 81; Санкт-Петербург; Москва
2569; Геласия; Кудряшов; Михайлович; 48; 173; 54; Москва; Москва
2570; Яков; Лапин; Михайлович; 59; 183; 44; Москва; Санкт-Петербург
2571; Кондрат; Владимиров; Юрьевич; 27; 191; 63; Санкт-Петербург; Санкт-Петербург
2572; Ерофей; Беляков; Юрьевич; 63; 199; 87; Москва; Санкт-Петербург
2573; Лев; Самсонов; Юрьевич; 41; 164; 42; Санкт-Петербург; Санкт-Петербург
2574; Аделла; Назаров; Юрьевич; 44; 179; 50; Москва; Москва
2575; Терентий; Макаров; Юрьевич; 51; 172; 53; Москва; Москва
2576; Гемелла; Горбачёв; Михайлович; 61; 179; 67; Москва; Москва
2577; Ладимир; Шилов; Михайлович; 38; 150; 78; Санкт-Петербург; Москва
2578; Симеон; Мамонтов; Юрьевич; 52; 181; 40; Москва; Санкт-Петербург
2579; Берта; Воронцов; Михайлович; 54; 173; 88; Санкт-Петербург; Москва
2580; Мартин; Комаров; Михайлович; 21; 170; 43; Москва; Санкт-Петербург
2581; Донара; Никонов; Михайлович; 69; 162; 54; Санкт-Петербург; Москва
2582; Евлалия; Соловьёв; Михайлович; 23; 161; 57; Москва; Санкт-Петербург
2583; Памфил; Фомичёв; Юрьевич; 35; 187; 41; Москва; Москва
2584; Ноябрина; Маслов; Михайлович; 61; 183; 72; Москва; Санкт-Петербург
2585; Каздоя; Кондратьев; Михайлович; 31; 161; 88; Санкт-Петербург; Москва
2586; Корней; Щукин; Михайлович; 53; 176; 68; Москва; Москва
2587; Мелитина; Самсонов; Михайлович; 18; 173; 56; Москва; Москва
2588; Кандидий; Кузнецов; Юрьевич; 69; 196; 43; Санкт-Петербург; Санкт-Петербург
2589; Вивиана; Герасимов; Михайлович; 33; 156; 67; Санкт-Петербург; Санкт-Петербург
2590; Евфросиния; Субботин; Михайлович; 50; 179; 86; Москва; Москва
2591; Прокофий; Михеев; Михайлович; 48; 154; 66; Санкт-Петербург; Санкт-Петербург
2592; Тимур; Сорокин; Юрьевич; 25; 164; 70; Санкт-Петербург; Москва
2593; Увар; Шаров; Юрьевич; 68; 155; 59; Москва; Санкт-Петербург
2594; Просдоха; Шаров; Юрьевич; 23; 178; 71; Москва; Москва
2595; Елистрат; Белоусов; Михайлович; 26; 189; 61; Санкт-Петербург; Санкт-Петербург
2596; Корнил; Зиновьев; Юрьевич; 32; 185; 79; Москва; Москва
2597; Андрей; Иванов; Михайлович; 47; 182; 50; Санкт-Петербург; Москва
2598; Платон; Орлов; Юрьевич; 29; 178; 67; Санкт-Петербург; Москва
2599; Авдей; Титов; Юрьевич; 59; 186; 67; Москва; Санкт-Петербург
2600; Досифей; Игнатьев; Юрьевич; 57; 194; 47; Санкт-Петербург; Москва
2601; Антроп; Шестаков; Михайлович; 19; 156; 59; Москва; Москва
2602; Мелания; Пестов; Юрьевич; 49; 156; 73; Санкт-Петербург; Санкт-Петербург
2603; Юрия; Медведев; Михайлович; 38; 167; 44; Санкт-Петербург; Санкт-Петербург
2604; Гала; Мухин; Юрьевич; 53; 185; 70; Москва; Москва
2605; Леонтий; Петров; Юрьевич; 59; 170; 57; Москва; Москва
2606; Генрих; Власов; Юрьевич; 51; 197; 76; Санкт-Петербург; Санкт-Петербург
2607; Лемира; Кононов; Михайлович; 45; 180; 73; Санкт-Петербург; Санкт-Петербург
2608; Галина; Журавлёв; Юрьевич; 59; 174; 75; Москва; Москва
2609; Радослава; Панов; Юрьевич; 30; 197; 80; Санкт-Петербург; Москва
2610; Изосим; Коновалов; Юрьевич; 67; 157; 88; Москва; Санкт-Петербург
2611; Алексина; Киселёв; Юрьевич; 62; 186; 53; Москва; Москва
2612; Гемелла; Гаврилов; Юрьевич; 52; 198; 66; Санкт-Петербург; Москва
2613; Феона; Куликов; Юрьевич; 55; 157; 78; Москва; Москва
2614; Лаура; Ефремов; Юрьевич; 50; 182; 43; Санкт-Петербург; Москва
2615; Андриан; Самсонов; Юрьевич; 43; 159; 72; Санкт-Петербург; Москва
2616; Еванфия; Александров; Юрьевич; 43; 189; 56; Москва; Санкт-Петербург
2617; Марта; Веселов; Юрьевич; 53; 176; 43; Москва; Санкт-Петербург
2618; Всеволод; Веселов; Михайлович; 36; 181; 85; Санкт-Петербург; Москва
2619; Акакий; Гурьев; Юрьевич; 50; 165; 50; Санкт-Петербург; Санкт-Петербург
2620; Луарсаб; Казаков; Михайлович; 22; 190; 76; Санкт-Петербург; Москва
2621; Доминика; Доронин; Юрьевич; 46; 182; 84; Москва; Санкт-Петербург
2622; Самсон; Орлов; Михайлович; 29; 157; 86; Москва; Санкт-Петербург
2623; Наркисса; Носков; Михайлович; 47; 165; 86; Санкт-Петербург; Москва
2624; Авдий; Исаев; Михайлович; 68; 173; 53; Санкт-Петербург; Санкт-Петербург
2625; Фрол; Мельников; Юрьевич; 18; 183; 76; Санкт-Петербург; Санкт-Петербург
2626; Людмила; Егоров; Михайлович; 31; 165; 82; Москва; Санкт-Петербург
2627; Ирина; Харитонов; Юрьевич; 38; 155; 72; Санкт-Петербург; Санкт-Петербург
2628; Евтихия; Медведев; Юрьевич; 39; 188; 40; Москва; Санкт-Петербург
2629; Май; Зайцев; Юрьевич; 30; 187; 81; Санкт-Петербург; Санкт-Петербург
2630; Аггей; Емельянов; Юрьевич; 19; 185; 89; Москва; Санкт-Петербург
2631; Божена; Ермаков; Юрьевич; 37; 191; 58; Москва; Москва
2632; Фея; Петухов; Михайлович; 68; 192; 66; Санкт-Петербург; Москва
2633; Каролина; Самсонов; Юрьевич; 20; 187; 86; Москва; Санкт-Петербург
2634; Феликс; Чернов; Михайлович; 50; 189; 77; Санкт-Петербург; Санкт-Петербург
2635; Клавдия; Филатов; Юрьевич; 63; 198; 45; Санкт-Петербург; Москва
2636; Келестина; Нестеров; Михайлович; 56; 156; 69; Москва; Москва
2637; Велимира; Юдин; Михайлович; 39; 173; 65; Москва; Москва
2638; Мефодий; Анисимов; Михайлович; 53; 188; 86; Москва; Санкт-Петербург
2639; Октавия; Мишин; Михайлович; 24; 186; 58; Санкт-Петербург; Санкт-Петербург
2640; Валентин; Гуляев; Юрьевич; 18; 156; 50; Москва; Москва
2641; Власта; Виноградов; Михайлович; 25; 170; 88; Москва; Москва
2642; Эрна; Сазонов; Михайлович; 45; 161; 45; Москва; Москва
2643; Рогнеда; Григорьев; Юрьевич; 26; 175; 43; Москва; Санкт-Петербург
2644; Злата; Богданов; Юрьевич; 53; 162; 84; Москва; Москва
2645; Геронтий; Осипов; Михайлович; 30; 182; 56; Санкт-Петербург; Санкт-Петербург
2646; Виталина; Рыбаков; Юрьевич; 66; 175; 48; Санкт-Петербург; Санкт-Петербург
2647; Клавдий; Крюков; Юрьевич; 43; 164; 75; Санкт-Петербург; Санкт-Петербург
2648; Эгина; Смирнов; Михайлович; 37; 193; 48; Москва; Москва
2649; Гала; Яковлев; Михайлович; 52; 163; 63; Москва; Москва
2650; Вышеслав; Панов; Михайлович; 20; 181; 82; Санкт-Петербург; Санкт-Петербург
2651; Корнелий; Крылов; Юрьевич; 65; 189; 60; Санкт-Петербург; Санкт-Петербург
2652; Агнесса; Журавлёв; Михайлович; 53; 159; 68; Москва; Москва
2653; Валерий; Попов; Юрьевич; 62; 195; 73; Москва; Москва
2654; Сатира; Алексеев; Михайлович; 65; 153; 70; Санкт-Петербург; Москва
2655; Пахом; Миронов; Юрьевич; 45; 194; 45; Москва; Санкт-Петербург
2656; Апфия; Осипов; Юрьевич; 40; 182; 44; Санкт-Петербург; Москва
2657; Петрония; Мышкин; Михайлович; 36; 171; 45; Москва; Москва
2658; Ратмир; Кириллов; Юрьевич; 38; 156; 83; Москва; Санкт-Петербург
2659; Адриана; Беляков; Михайлович; 22; 165; 76; Санкт-Петербург; Москва
2660; Меркурия; Зиновьев; Михайлович; 50; 152; 41; Санкт-Петербург; Санкт-Петербург
2661; Твердислав; Устинов; Михайлович; 57; 171; 79; Москва; Москва
2662; Геновефа; Юдин; Михайлович; 34; 170; 62; Санкт-Петербург; Санкт-Петербург
2663; Афиноген; Яковлев; Михайлович; 20; 165; 85; Москва; Москва
2664; Глориоза; Уваров; Михайлович; 41; 192; 86; Москва; Москва
2665; Азарий; Жуков; Михайлович; 32; 168; 47; Санкт-Петербург; Санкт-Петербург
2666; Саломея; Архипов; Михайлович; 35; 152; 54; Москва; Санкт-Петербург
2667; Домнина; Ефремов; Юрьевич; 40; 196; 72; Санкт-Петербург; Санкт-Петербург
2668; Веселина; Гущин; Юрьевич; 50; 167; 57; Москва; Москва
2669; Генрих; Ковалёв; Михайлович; 34; 186; 84; Москва; Москва
2670; Альвина; Корнилов; Михайлович; 38; 185; 41; Москва; Москва
2671; Бронислава; Максимов; Михайлович; 60; 196; 77; Москва; Санкт-Петербург
2672; Люциан; Дорофеев; Михайлович; 46; 193; 54; Москва; Санкт-Петербург
2673; Анастасия; Маслов; Юрьевич; 63; 157; 78; Москва; Санкт-Петербург
2674; Владислав; Марков; Юрьевич; 64; 165; 87; Санкт-Петербург; Санкт-Петербург
2675; Таисия; Савин; Юрьевич; 40; 152; 56; Москва; Москва
2676; Цвета; Сысоев; Михайлович; 66; 178; 48; Москва; Москва
2677; Кандида; Блинов; Михайлович; 56; 171; 52; Санкт-Петербург; Санкт-Петербург
2678; Ларион; Филатов; Юрьевич; 27; 187; 45; Москва; Москва
2679; Ипполит; Цветков; Юрьевич; 62; 173; 83; Санкт-Петербург; Санкт-Петербург
2680; Сальвия; Рябов; Михайлович; 25; 185; 67; Москва; Санкт-Петербург
2681; Ангелика; Попов; Юрьевич; 29; 176; 79; Москва; Санкт-Петербург
2682; Давид; Ситников; Михайлович; 62; 190; 66; Санкт-Петербург; Москва
2683; Надежда; Фокин; Михайлович; 38; 162; 47; Москва; Москва
2684; Розина; Сысоев; Юрьевич; 31; 172; 75; Москва; Москва
2685; Каллистрат; Симонов; Михайлович; 33; 192; 69; Санкт-Петербург; Санкт-Петербург
2686; Власий; Лебедев; Михайлович; 24; 165; 60; Москва; Санкт-Петербург
2687; Домитилла; Рогов; Юрьевич; 45; 197; 49; Москва; Москва
2688; Феопистия; Гришин; Михайлович; 57; 192; 40; Санкт-Петербург; Москва
2689; Эрнестина; Воронов; Юрьевич; 33; 158; 83; Санкт-Петербург; Санкт-Петербург
2690; Алина; Воробьёв; Юрьевич; 66; 162; 42; Москва; Санкт-Петербург
2691; Каздоя; Наумов; Юрьевич; 22; 188; 75; Санкт-Петербург; Санкт-Петербург
2692; Самсоний; Савин; Юрьевич; 56; 151; 88; Москва; Москва
2693; Андроний; Титов; Юрьевич; 24; 191; 52; Санкт-Петербург; Санкт-Петербург
2694; Будимир; Чернов; Юрьевич; 20; 179; 69; Москва; Санкт-Петербург
2695; Белла; Мельников; Михайлович; 65; 162; 47; Москва; Санкт-Петербург
2696; Виталия; Симонов; Юрьевич; 41; 183; 47; Санкт-Петербург; Москва
2697; Евстрат; Калашников; Юрьевич; 40; 172; 57; Санкт-Петербург; Москва
2698; Антропий; Григорьев; Юрьевич; 24; 162; 85; Москва; Санкт-Петербург
2699; Наркис; Кузьмин; Михайлович; 22; 177; 72; Санкт-Петербург; Москва
2700; Тавифа; Суворов; Юрьевич; 64; 184; 53; Санкт-Петербург; Москва
2701; Давыд; Щербаков; Михайлович; 36; 152; 87; Москва; Санкт-Петербург
2702; Ратмир; Костин; Михайлович; 67; 188; 83; Москва; Санкт-Петербург
2703; Келестина; Трофимов; Юрьевич; 42; 158; 66; Москва; Москва
2704; Нида; Исаев; Юрьевич; 45; 171; 82; Санкт-Петербург; Санкт-Петербург
2705; Руфь; Дьячков; Юрьевич; 31; 184; 87; Санкт-Петербург; Москва
2706; Руслана; Дроздов; Михайлович; 28; 162; 63; Санкт-Петербург; Москва
2707; Гала; Субботин; Юрьевич; 63; 165; 85; Санкт-Петербург; Москва
2708; Мефодий; Калашников; Юрьевич; 50; 198; 84; Санкт-Петербург; Санкт-Петербург
2709; Серафим; Мамонтов; Юрьевич; 41; 177; 88; Санкт-Петербург; Санкт-Петербург
2710; Прокопий; Николаев; Юрьевич; 20; 157; 76; Санкт-Петербург; Москва
2711; Митрофан; Панов; Михайлович; 29; 162; 52; Санкт-Петербург; Санкт-Петербург
2712; Фрол; Нестеров; Михайлович; 22; 168; 49; Санкт-Петербург; Москва
2713; Иветта; Сорокин; Юрьевич; 52; 184; 86; Москва; Москва
2714; Данил; Виноградов; Юрьевич; 48; 188; 59; Москва; Москва
2715; Альберт; Назаров; Юрьевич; 43; 163; 69; Москва; Москва
2716; Иринарх; Сафонов; Юрьевич; 23; 170; 51; Санкт-Петербург; Санкт-Петербург
2717; Евграф; Лукин; Юрьевич; 18; 192; 70; Москва; Санкт-Петербург
2718; Софья; Овчинников; Юрьевич; 60; 193; 70; Санкт-Петербург; Санкт-Петербург
2719; Тавифа; Иванов; Михайлович; 58; 192; 56; Санкт-Петербург; Санкт-Петербург
2720; Гиацинт; Вишняков; Юрьевич; 60; 181; 69; Санкт-Петербург; Санкт-Петербург
2721; Аврам; Антонов; Михайлович; 55; 171; 52; Санкт-Петербург; Санкт-Петербург
2722; Флавия; Гущин; Михайлович; 24; 192; 82; Санкт-Петербург; Санкт-Петербург
2723; Гервасий; Филиппов; Михайлович; 27; 159; 77; Москва; Санкт-Петербург
2724; Феофил; Беспалов; Михайлович; 42; 150; 51; Санкт-Петербург; Москва
2725; Иов; Соколов; Михайлович; 50; 191; 73; Санкт-Петербург; Москва
2726; Трифон; Щукин; Михайлович; 28; 187; 84; Москва; Москва
2727; Эразм; Тарасов; Михайлович; 53; 174; 49; Москва; Санкт-Петербург
2728; Назарий; Михайлов; Михайлович; 67; 157; 41; Москва; Москва
2729; Савватей; Муравьёв; Михайлович; 41; 175; 42; Москва; Москва
2730; Игнат; Марков; Михайлович; 36; 155; 83; Москва; Москва
2731; Филомена; Назаров; Юрьевич; 49; 188; 54; Санкт-Петербург; Санкт-Петербург
2732; Матильда; Егоров; Михайлович; 18; 162; 55; Москва; Санкт-Петербург
2733; Керкира; Давыдов; Юрьевич; 23; 153; 83; Москва; Москва
2734; Кама; Муравьёв; Михайлович; 18; 163; 60; Санкт-Петербург; Санкт-Петербург
2735; Феофил; Субботин; Юрьевич; 53; 180; 81; Санкт-Петербург; Санкт-Петербург
2736; Панфил; Комаров; Михайлович; 44; 197; 41; Санкт-Петербург; Москва
2737; Адель; Миронов; Юрьевич; 58; 186; 79; Москва; Санкт-Петербург
2738; Просдоха; Гордеев; Юрьевич; 38; 166; 81; Санкт-Петербург; Москва
2739; Ада; Федосеев; Михайлович; 52; 181; 47; Москва; Москва
2740; Милана; Михайлов; Юрьевич; 45; 169; 41; Москва; Москва
2741; Ливия; Кондратьев; Михайлович; 21; 165; 50; Санкт-Петербург; Санкт-Петербург
2742; Ираклий; Владимиров; Юрьевич; 30; 163; 80; Москва; Москва
2743; Феофан; Голубев; Юрьевич; 48; 181; 51; Санкт-Петербург; Москва
2744; Аскольд; Давыдов; Юрьевич; 35; 190; 70; Москва; Москва
2745; Арефий; Абрамов; Михайлович; 60; 167; 85; Санкт-Петербург; Санкт-Петербург
2746; Шушаника; Третьяков; Юрьевич; 37; 177; 48; Москва; Санкт-Петербург
2747; Киликия; Дементьев; Михайлович; 40; 172; 65; Санкт-Петербург; Санкт-Петербург
2748; Гемелла; Комаров; Михайлович; 53; 166; 49; Москва; Москва
2749; Ириней; Рожков; Михайлович; 57; 168; 48; Москва; Санкт-Петербург
2750; Ида; Морозов; Юрьевич; 67; 172; 69; Москва; Москва
2751; Нестер; Носков; Юрьевич; 37; 160; 73; Санкт-Петербург; Москва
2752; Розалина; Дроздов; Юрьевич; 53; 166; 47; Санкт-Петербург; Москва
2753; Русана; Гурьев; Михайлович; 36; 162; 60; Санкт-Петербург; Санкт-Петербург
2754; Геннадия; Смирнов; Юрьевич; 33; 185; 61; Санкт-Петербург; Москва
2755; Корнелий; Яковлев; Михайлович; 40; 156; 75; Москва; Москва
2756; Силантий; Большаков; Михайлович; 46; 151; 62; Санкт-Петербург; Москва
2757; Януарий; Комиссаров; Михайлович; 42; 165; 75; Санкт-Петербург; Санкт-Петербург
2758; Агапит; Куликов; Юрьевич; 67; 177; 47; Санкт-Петербург; Москва
2759; Елена; Тимофеев; Юрьевич; 23; 185; 46; Москва; Санкт-Петербург
2760; Цецилия; Лобанов; Юрьевич; 58; 189; 84; Санкт-Петербург; Санкт-Петербург
2761; Антонина; Вишняков; Юрьевич; 54; 187; 45; Москва; Санкт-Петербург
2762; Хариса; Григорьев; Юрьевич; 44; 188; 64; Санкт-Петербург; Москва
2763; Наум; Шилов; Юрьевич; 37; 163; 81; Москва; Санкт-Петербург
2764; Астра; Мухин; Юрьевич; 47; 155; 76; Москва; Москва
2765; Гавриил; Зайцев; Юрьевич; 55; 159; 74; Москва; Санкт-Петербург
2766; Евгения; Воронцов; Юрьевич; 33; 157; 83; Москва; Санкт-Петербург
2767; Стоян; Белозёров; Михайлович; 53; 197; 52; Санкт-Петербург; Москва
2768; Самуил; Исаков; Юрьевич; 60; 162; 69; Москва; Санкт-Петербург
2769; Ксения; Федосеев; Юрьевич; 36; 179; 60; Москва; Санкт-Петербург
2770; Юния; Елисеев; Юрьевич; 63; 199; 60; Москва; Москва
2771; Апфия; Меркушев; Михайлович; 31; 161; 42; Санкт-Петербург; Санкт-Петербург
2772; Поликсена; Фадеев; Юрьевич; 52; 196; 46; Санкт-Петербург; Москва
2773; Вивея; Гордеев; Юрьевич; 57; 186; 43; Санкт-Петербург; Санкт-Петербург
2774; Евтихия; Анисимов; Юрьевич; 39; 178; 80; Москва; Санкт-Петербург
2775; Нинель; Терентьев; Юрьевич; 50; 190; 73; Москва; Санкт-Петербург
2776; Абрам; Кузнецов; Михайлович; 39; 162; 82; Санкт-Петербург; Санкт-Петербург
2777; Осип; Данилов; Юрьевич; 61; 186; 77; Санкт-Петербург; Санкт-Петербург
2778; Лия; Бобров; Михайлович; 18; 185; 42; Санкт-Петербург; Санкт-Петербург
2779; Лолия; Сазонов; Юрьевич; 62; 153; 89; Москва; Санкт-Петербург
2780; Сира; Королёв; Михайлович; 20; 167; 68; Санкт-Петербург; Санкт-Петербург
2781; Харлампий; Комиссаров; Юрьевич; 39; 194; 73; Санкт-Петербург; Санкт-Петербург
2782; Изот; Журавлёв; Юрьевич; 25; 165; 42; Москва; Санкт-Петербург
2783; Новелла; Егоров; Юрьевич; 66; 158; 54; Москва; Санкт-Петербург
2784; Валерия; Горбунов; Михайлович; 38; 175; 88; Санкт-Петербург; Москва
2785; Евлампий; Воронов; Юрьевич; 20; 171; 76; Москва; Санкт-Петербург
2786; Ярослава; Ефимов; Юрьевич; 59; 160; 59; Москва; Москва
2787; Веселина; Пономарёв; Михайлович; 55; 154; 41; Санкт-Петербург; Москва
2788; Афиноген; Шашков; Михайлович; 59; 153; 82; Санкт-Петербург; Санкт-Петербург
2789; Владилена; Терентьев; Юрьевич; 62; 181; 65; Санкт-Петербург; Москва
2790; Селивёрст; Степанов; Михайлович; 44; 199; 86; Санкт-Петербург; Санкт-Петербург
2791; Арий; Жданов; Михайлович; 59; 179; 83; Санкт-Петербург; Москва
2792; Мирослава; Горшков; Юрьевич; 26; 174; 68; Москва; Москва
2793; Ярополк; Голубев; Юрьевич; 21; 160; 87; Москва; Санкт-Петербург
2794; Феоктист; Селиверстов; Михайлович; 30; 170; 84; Санкт-Петербург; Санкт-Петербург
2795; Хриса; Рогов; Михайлович; 41; 167; 71; Москва; Москва
2796; Эрнеста; Соколов; Михайлович; 32; 151; 50; Санкт-Петербург; Москва
2797; Наркис; Карпов; Юрьевич; 64; 176; 58; Санкт-Петербург; Москва
2798; Аникей; Туров; Михайлович; 61; 155; 78; Санкт-Петербург; Санкт-Петербург
2799; Капитолина; Кононов; Михайлович; 64; 194; 61; Санкт-Петербург; Москва
2800; Божена; Поляков; Михайлович; 46; 175; 68; Москва; Москва
2801; Марфа; Цветков; Юрьевич; 64; 189; 42; Санкт-Петербург; Санкт-Петербург
2802; Антигона; Морозов; Михайлович; 36; 193; 88; Санкт-Петербург; Санкт-Петербург
2803; Ростислава; Андреев; Михайлович; 30; 169; 52; Санкт-Петербург; Москва
2804; Андрон; Кузнецов; Михайлович; 29; 162; 45; Москва; Москва
2805; Феодотия; Громов; Юрьевич; 46; 184; 80; Москва; Санкт-Петербург
2806; Пахомий; Романов; Михайлович; 59; 159; 62; Москва; Санкт-Петербург
2807; Эльвира; Беспалов; Юрьевич; 26; 185; 46; Санкт-Петербург; Москва
2808; Вивея; Бирюков; Михайлович; 47; 195; 62; Москва; Москва
2809; Матрёна; Сысоев; Юрьевич; 41; 178; 83; Санкт-Петербург; Москва
2810; Анфуса; Осипов; Михайлович; 46; 190; 78; Москва; Москва
2811; Ида; Рябов; Михайлович; 39; 153; 58; Санкт-Петербург; Санкт-Петербург
2812; Власий; Попов; Михайлович; 47; 167; 53; Санкт-Петербург; Санкт-Петербург
2813; Силантий; Бирюков; Юрьевич; 20; 164; 44; Москва; Москва
2814; Лия; Зиновьев; Юрьевич; 37; 178; 43; Москва; Санкт-Петербург
2815; Эсфирь; Уваров; Юрьевич; 29; 182; 44; Санкт-Петербург; Москва
2816; Леонид; Терентьев; Михайлович; 39; 167; 60; Москва; Санкт-Петербург
2817; Леонида; Панфилов; Михайлович; 53; 197; 65; Санкт-Петербург; Москва
2818; Феозва; Суханов; Юрьевич; 28; 168; 74; Санкт-Петербург; Санкт-Петербург
2819; Элоиза; Иванов; Михайлович; 69; 191; 42; Санкт-Петербург; Москва
2820; Моисей; Архипов; Юрьевич; 66; 183; 78; Санкт-Петербург; Санкт-Петербург
2821; Наталия; Сазонов; Юрьевич; 39; 179; 82; Санкт-Петербург; Санкт-Петербург
2822; Юрий; Крылов; Михайлович; 36; 172; 47; Москва; Москва
2823; Алла; Шашков; Юрьевич; 40; 166; 74; Санкт-Петербург; Санкт-Петербург
2824; Богдан; Агафонов; Юрьевич; 28; 179; 42; Санкт-Петербург; Москва
2825; Мирослава; Михеев; Юрьевич; 56; 192; 59; Санкт-Петербург; Москва
2826; Егорий; Дьячков; Юрьевич; 21; 170; 75; Санкт-Петербург; Санкт-Петербург
2827; Евтихия; Новиков; Михайлович; 59; 164; 73; Санкт-Петербург; Москва
2828; Зосима; Власов; Юрьевич; 66; 182; 72; Москва; Москва
2829; Фея; Маслов; Михайлович; 67; 152; 48; Москва; Санкт-Петербург
2830; Юлиан; Тихонов; Михайлович; 27; 177; 66; Санкт-Петербург; Санкт-Петербург
2831; Фортуната; Колесников; Михайлович; 19; 175; 69; Санкт-Петербург; Москва
2832; Афанасия; Коновалов; Юрьевич; 46; 157; 78; Москва; Москва
2833; Деодор; Мамонтов; Михайлович; 37; 173; 44; Санкт-Петербург; Санкт-Петербург
2834; Болеслав; Субботин; Юрьевич; 36; 155; 68; Москва; Санкт-Петербург
2835; Анастасий; Волков; Михайлович; 24; 184; 69; Санкт-Петербург; Москва
2836; Фея; Гаврилов; Юрьевич; 62; 192; 55; Москва; Москва
2837; Лонгина; Елисеев; Михайлович; 20; 180; 78; Санкт-Петербург; Санкт-Петербург
2838; Констанция; Белов; Юрьевич; 27; 153; 57; Москва; Москва
2839; Ростислава; Морозов; Юрьевич; 25; 158; 45; Санкт-Петербург; Москва
2840; Аверий; Родионов; Юрьевич; 40; 186; 84; Санкт-Петербург; Москва
2841; Зарина; Фомичёв; Михайлович; 62; 190; 51; Москва; Санкт-Петербург
2842; Евтихий; Беляев; Михайлович; 26; 197; 78; Москва; Санкт-Петербург
2843; Леопольд; Овчинников; Михайлович; 66; 191; 60; Москва; Москва
2844; Артемида; Корнилов; Юрьевич; 44; 189; 86; Москва; Санкт-Петербург
2845; Денис; Титов; Юрьевич; 56; 171; 44; Москва; Москва
2846; Вереника; Кудряшов; Михайлович; 19; 160; 62; Санкт-Петербург; Санкт-Петербург
2847; Ненила; Потапов; Юрьевич; 67; 161; 77; Санкт-Петербург; Москва
2848; Исаак; Белоусов; Михайлович; 52; 169; 65; Москва; Санкт-Петербург
2849; Алексий; Родионов; Михайлович; 48; 198; 52; Санкт-Петербург; Санкт-Петербург
2850; Снадулия; Терентьев; Михайлович; 19; 170; 88; Москва; Москва
2851; Мастридия; Степанов; Михайлович; 59; 185; 70; Санкт-Петербург; Москва
2852; Ольда; Мясников; Юрьевич; 57; 154; 64; Санкт-Петербург; Санкт-Петербург
2853; Авраам; Лапин; Михайлович; 26; 177; 77; Санкт-Петербург; Санкт-Петербург
2854; Анект; Карпов; Юрьевич; 60; 166; 69; Москва; Санкт-Петербург
2855; Фелица; Мухин; Михайлович; 34; 162; 44; Санкт-Петербург; Санкт-Петербург
2856; Абрам; Поляков; Юрьевич; 32; 199; 47; Москва; Санкт-Петербург
2857; Фервуфа; Зыков; Юрьевич; 32; 179; 43; Санкт-Петербург; Санкт-Петербург
